"variable","percent","point","mean","sd"
"hip_flexion",58,30,-7.52613,5
"hip_flexion",60,31,-6.18034,5
"hip_flexion",62,32,-4.57937,5
"hip_flexion",64,33,-2.74848,5
"hip_flexion",66,34,-0.71654,5
"hip_flexion",68,35,1.48441,5
"hip_flexion",70,36,3.81966,5
"hip_flexion",72,37,6.25237,5
"hip_flexion",74,38,8.74419,5
"hip_flexion",76,39,11.25581,5
"hip_flexion",78,40,13.74763,5
"hip_flexion",80,41,16.18034,5
"hip_flexion",82,42,18.51559,5
"hip_flexion",84,43,20.71654,5
"hip_flexion",86,44,22.74848,5
"hip_flexion",88,45,24.57937,5
"hip_flexion",90,46,26.18034,5
"hip_flexion",92,47,27.52613,5
"hip_flexion",94,48,28.59553,5
"hip_flexion",96,49,29.37166,5
"hip_flexion",98,50,29.84229,5
"hip_flexion",100,51,30,5
"hip_adduction",0,1,5.70151,3
"hip_adduction",2,2,6.20753,3
"hip_adduction",4,3,6.66297,3
"hip_adduction",6,4,7.06063,3
"hip_adduction",8,5,7.39426,3
"hip_adduction",10,6,7.65859,3
"hip_adduction",12,7,7.84945,3
"hip_adduction",14,8,7.96383,3
"hip_adduction",16,9,7.99993,3
"hip_adduction",18,10,7.95718,3
"hip_adduction",20,11,7.83625,3
"hip_adduction",22,12,7.63904,3
"hip_adduction",24,13,7.36868,3
"hip_adduction",26,14,7.02942,3
"hip_adduction",28,15,6.62662,3
"hip_adduction",30,16,6.16662,3
"hip_adduction",32,17,5.65668,3
"hip_adduction",34,18,5.10484,3
"hip_adduction",36,19,4.51981,3
"hip_adduction",38,20,3.91082,3
"hip_adduction",40,21,3.28745,3
"hip_adduction",42,22,2.65956,3
"hip_adduction",44,23,2.03703,3
"hip_adduction",46,24,1.42969,3
"hip_adduction",48,25,0.84711,3
"hip_adduction",50,26,0.29849,3
"hip_adduction",52,27,-0.20753,3
"hip_adduction",54,28,-0.66297,3
"hip_adduction",56,29,-1.06063,3
"hip_adduction",58,30,-1.39426,3
"hip_adduction",60,31,-1.65859,3
"hip_adduction",62,32,-1.84945,3
"hip_adduction",64,33,-1.96383,3
"hip_adduction",66,34,-1.99993,3
"hip_adduction",68,35,-1.95718,3
"hip_adduction",70,36,-1.83625,3
"hip_adduction",72,37,-1.63904,3
"hip_adduction",74,38,-1.36868,3
"hip_adduction",76,39,-1.02942,3
"hip_adduction",78,40,-0.62662,3
"hip_adduction",80,41,-0.16662,3
"hip_adduction",82,42,0.34332,3
"hip_adduction",84,43,0.89516,3
"hip_adduction",86,44,1.48019,3
"hip_adduction",88,45,2.08918,3
"hip_adduction",90,46,2.71255,3
"hip_adduction",92,47,3.34044,3
"hip_adduction",94,48,3.96297,3
"hip_adduction",96,49,4.57031,3
"hip_adduction",98,50,5.15289,3
"hip_adduction",100,51,5.70151,3
"hip_rotation",0,1,-2,6
"hip_rotation",2,2,-1.37333,6
"hip_rotation",4,3,-0.75655,6
"hip_rotation",6,4,-0.15938,6
"hip_rotation",8,5,0.40877,6
"hip_rotation",10,6,0.93893,6
"hip_rotation",12,7,1.42274,6
"hip_rotation",14,8,1.85257,6
"hip_rotation",16,9,2.22164,6
"hip_rotation",18,10,2.52414,6
"hip_rotation",20,11,2.75528,6
"hip_rotation",22,12,2.91144,6
"hip_rotation",24,13,2.99013,6
"hip_rotation",26,14,2.99013,6
"hip_rotation",28,15,2.91144,6
"hip_rotation",30,16,2.75528,6
"hip_rotation",32,17,2.52414,6
"hip_rotation",34,18,2.22164,6
"hip_rotation",36,19,1.85257,6
"hip_rotation",38,20,1.42274,6
"hip_rotation",40,21,0.93893,6
"hip_rotation",42,22,0.40877,6
"hip_rotation",44,23,-0.15938,6
"hip_rotation",46,24,-0.75655,6
"hip_rotation",48,25,-1.37333,6
"hip_rotation",50,26,-2,6
"hip_rotation",52,27,-2.62667,6
"hip_rotation",54,28,-3.24345,6
"hip_rotation",56,29,-3.84062,6
"hip_rotation",58,30,-4.40877,6
"hip_rotation",60,31,-4.93893,6
"hip_rotation",62,32,-5.42274,6
"hip_rotation",64,33,-5.85257,6
"hip_rotation",66,34,-6.22164,6
"hip_rotation",68,35,-6.52414,6
"hip_rotation",70,36,-6.75528,6
"hip_rotation",72,37,-6.91144,6
"hip_rotation",74,38,-6.99013,6
"hip_rotation",76,39,-6.99013,6
"hip_rotation",78,40,-6.91144,6
"hip_rotation",80,41,-6.75528,6
"hip_rotation",82,42,-6.52414,6
"hip_rotation",84,43,-6.22164,6
"hip_rotation",86,44,-5.85257,6
"hip_rotation",88,45,-5.42274,6
"hip_rotation",90,46,-4.93893,6
"hip_rotation",92,47,-4.40877,6
"hip_rotation",94,48,-3.84062,6
"hip_rotation",96,49,-3.24345,6
"hip_rotation",98,50,-2.62667,6
"hip_rotation",100,51,-2,6
"knee_flexion",0,1,5.80829,5
"knee_flexion",2,2,6.6137,5
"knee_flexion",4,3,7.91865,5
"knee_flexion",6,4,9.78243,5
"knee_flexion",8,5,12.09941,5
"knee_flexion",10,6,14.54777,5
"knee_flexion",12,7,16.63291,5
"knee_flexion",14,8,17.84049,5
"knee_flexion",16,9,17.84049,5
"knee_flexion",18,10,16.63291,5
"knee_flexion",20,11,14.54777,5
"knee_flexion",22,12,12.09941,5
"knee_flexion",24,13,9.78243,5
"knee_flexion",26,14,7.91865,5
"knee_flexion",28,15,6.61371,5
"knee_flexion",30,16,5.80832,5
"knee_flexion",32,17,5.3669,5
"knee_flexion",34,18,5.15117,5
"knee_flexion",36,19,5.05743,5
"knee_flexion",38,20,5.02299,5
"knee_flexion",40,21,5.01783,5
"knee_flexion",42,22,5.03515,5
"knee_flexion",44,23,5.08789,5
"knee_flexion",46,24,5.21368,5
"knee_flexion",48,25,5.4881,5
"knee_flexion",50,26,6.04399,5
"knee_flexion",52,27,7.09021,5
"knee_flexion",54,28,8.91715,5
"knee_flexion",56,29,11.87127,5
"knee_flexion",58,30,16.28209,5
"knee_flexion",60,31,22.33918,5
"knee_flexion",62,32,29.94329,5
"knee_flexion",64,33,38.58655,5
"knee_flexion",66,34,47.33146,5
"knee_flexion",68,35,54.93988,5
"knee_flexion",70,36,60.14651,5
"knee_flexion",72,37,62,5
"knee_flexion",74,38,60.14651,5
"knee_flexion",76,39,54.93988,5
"knee_flexion",78,40,47.33146,5
"knee_flexion",80,41,38.58655,5
"knee_flexion",82,42,29.94329,5
"knee_flexion",84,43,22.33918,5
"knee_flexion",86,44,16.28209,5
"knee_flexion",88,45,11.87127,5
"knee_flexion",90,46,8.91715,5
"knee_flexion",92,47,7.09021,5
"knee_flexion",94,48,6.04399,5
"knee_flexion",96,49,5.48808,5
"knee_flexion",98,50,5.21358,5
"knee_flexion",100,51,5.08749,5
"ankle_dorsiflexion",0,1,1.32749,4
"ankle_dorsiflexion",2,2,0.53583,4
"ankle_dorsiflexion",4,3,-0.55003,4
"ankle_dorsiflexion",6,4,-1.551,4
"ankle_dorsiflexion",8,5,-1.94716,4
"ankle_dorsiflexion",10,6,-1.48436,4
"ankle_dorsiflexion",12,7,-0.39988,4
"ankle_dorsiflexion",14,8,0.80452,4
"ankle_dorsiflexion",16,9,1.77004,4
"ankle_dorsiflexion",18,10,2.44704,4
"ankle_dorsiflexion",20,11,2.97393,4
"ankle_dorsiflexion",22,12,3.50384,4
"ankle_dorsiflexion",24,13,4.12909,4
"ankle_dorsiflexion",26,14,4.88428,4
"ankle_dorsiflexion",28,15,5.76632,4
"ankle_dorsiflexion",30,16,6.74563,4
"ankle_dorsiflexion",32,17,7.77062,4
"ankle_dorsiflexion",34,18,8.77189,4
"ankle_dorsiflexion",36,19,9.66927,4
"ankle_dorsiflexion",38,20,10.38207,4
"ankle_dorsiflexion",40,21,10.84039,4
"ankle_dorsiflexion",42,22,10.9943,4
"ankle_dorsiflexion",44,23,10.81454,4
"ankle_dorsiflexion",46,24,10.27456,4
"ankle_dorsiflexion",48,25,9.30298,4
"ankle_dorsiflexion",50,26,7.71328,4
"ankle_dorsiflexion",52,27,5.17217,4
"ankle_dorsiflexion",54,28,1.32827,4
"ankle_dorsiflexion",56,29,-3.82667,4
"ankle_dorsiflexion",58,30,-9.54367,4
"ankle_dorsiflexion",60,31,-14.29986,4
"ankle_dorsiflexion",62,32,-16.47888,4
"ankle_dorsiflexion",64,33,-15.38502,4
"ankle_dorsiflexion",66,34,-11.7327,4
"ankle_dorsiflexion",68,35,-7.14695,4
"ankle_dorsiflexion",70,36,-3.14133,4
"ankle_dorsiflexion",72,37,-0.43361,4
"ankle_dorsiflexion",74,38,1.03639,4
"ankle_dorsiflexion",76,39,1.68652,4
"ankle_dorsiflexion",78,40,1.9207,4
"ankle_dorsiflexion",80,41,1.98781,4
"ankle_dorsiflexion",82,42,2.00165,4
"ankle_dorsiflexion",84,43,2.00252,4
"ankle_dorsiflexion",86,44,2.00149,4
"ankle_dorsiflexion",88,45,2.00072,4
"ankle_dorsiflexion",90,46,2.00032,4
"ankle_dorsiflexion",92,47,2.00013,4
"ankle_dorsiflexion",94,48,2.00005,4
"ankle_dorsiflexion",96,49,2.00002,4
"ankle_dorsiflexion",98,50,2.00001,4
"ankle_dorsiflexion",100,51,2,4
"foot_progression",0,1,-7,5
"foot_progression",2,2,-6.74933,5
"foot_progression",4,3,-6.50262,5
"foot_progression",6,4,-6.26375,5
"foot_progression",8,5,-6.03649,5
"foot_progression",10,6,-5.82443,5
"foot_progression",12,7,-5.63091,5
"foot_progression",14,8,-5.45897,5
"foot_progression",16,9,-5.31134,5
"foot_progression",18,10,-5.19035,5
"foot_progression",20,11,-5.09789,5
"foot_progression",22,12,-5.03543,5
"foot_progression",24,13,-5.00395,5
"foot_progression",26,14,-5.00395,5
"foot_progression",28,15,-5.03543,5
"foot_progression",30,16,-5.09789,5
"foot_progression",32,17,-5.19035,5
"foot_progression",34,18,-5.31134,5
"foot_progression",36,19,-5.45897,5
"foot_progression",38,20,-5.63091,5
"foot_progression",40,21,-5.82443,5
"foot_progression",42,22,-6.03649,5
"foot_progression",44,23,-6.26375,5
"foot_progression",46,24,-6.50262,5
"foot_progression",48,25,-6.74933,5
"foot_progression",50,26,-7,5
"foot_progression",52,27,-7.25067,5
"foot_progression",54,28,-7.49738,5
"foot_progression",56,29,-7.73625,5
"foot_progression",58,30,-7.96351,5
"foot_progression",60,31,-8.17557,5
"foot_progression",62,32,-8.36909,5
"foot_progression",64,33,-8.54103,5
"foot_progression",66,34,-8.68866,5
"foot_progression",68,35,-8.80965,5
"foot_progression",70,36,-8.90211,5
"foot_progression",72,37,-8.96457,5
"foot_progression",74,38,-8.99605,5
"foot_progression",76,39,-8.99605,5
"foot_progression",78,40,-8.96457,5
"foot_progression",80,41,-8.90211,5
"foot_progression",82,42,-8.80965,5
"foot_progression",84,43,-8.68866,5
"foot_progression",86,44,-8.54103,5
"foot_progression",88,45,-8.36909,5
"foot_progression",90,46,-8.17557,5
"foot_progression",92,47,-7.96351,5
"foot_progression",94,48,-7.73625,5
"foot_progression",96,49,-7.49738,5
"foot_progression",98,50,-7.25067,5
"foot_progression",100,51,-7,5
